employee_id,fullname,name_department,name_position,final_match_rate,match_category
EMP100692,Lestari Halim Purnama,Operations,Brand Executive,44.75,Low Fit
EMP101934,Yoga Halim Syahputra,Operations,HRBP,38.25,Low Fit
EMP101490,Rizki Nabila Utami,Marketing,Data Analyst,2.25,Low Fit
EMP100552,Vania Syahputra,Operations,Finance Officer,43.5,Low Fit
EMP100928,Zaki Yudhistira Rohman,Finance,HRBP,32.25,Low Fit
EMP101503,Citra Indrawan,Finance,Data Analyst,46.0,Low Fit
EMP101009,Lestari Dharma Herlambang,Finance,Finance Officer,28.0,Low Fit
EMP100299,Fajar Rachman Ridwan,IT,Finance Officer,39.75,Low Fit
EMP100713,Iman Indrawan,HR,Sales Supervisor,29.75,Low Fit
EMP100153,Arif Herlambang,HR,Finance Officer,10.5,Low Fit
EMP101871,Zaki Tamba,Finance,Sales Supervisor,32.75,Low Fit
EMP100430,Valdo Nabila Rohman,IT,Sales Supervisor,32.25,Low Fit
EMP101514,Julia Pramudita Situmorang,R&D,Sales Supervisor,33.0,Low Fit
EMP101312,Budi Syahputra,Finance,Data Analyst,34.0,Low Fit
EMP101927,Eko Ganesha Handayani,Operations,HRBP,9.0,Low Fit
EMP101909,Kurnia Kusuma,Operations,Finance Officer,36.25,Low Fit
EMP100092,Ahmad Indrawan,Marketing,Data Analyst,1.75,Low Fit
EMP101378,Joko Dharma Utami,IT,Data Analyst,43.5,Low Fit
EMP101756,Rendra Hasibuan,Operations,Data Analyst,39.75,Low Fit
EMP100293,Sari Fadillah Mahendra,R&D,Sales Supervisor,29.0,Low Fit
EMP100956,Anisa Suharto,IT,Data Analyst,35.0,Low Fit
EMP101525,Rani Aji Indrawan,Operations,Finance Officer,35.0,Low Fit
EMP100937,Joko Mahardika Ananda,Marketing,Supply Planner,3.0,Low Fit
EMP101315,Dwi Wibowo,Marketing,Finance Officer,1.0,Low Fit
EMP100489,Vania Adi Setiawan,Operations,Brand Executive,38.25,Low Fit
EMP101430,Iman Fauziah,R&D,HRBP,42.75,Low Fit
EMP100188,Novi Pramudita Syahputra,Finance,Brand Executive,30.25,Low Fit
EMP100911,Prasetyo Halim Syahputra,IT,Finance Officer,31.75,Low Fit
EMP100566,Rendra Setiawan,Marketing,Supply Planner,1.5,Low Fit
EMP101388,Ayunda Tri Hidayat,R&D,Finance Officer,36.75,Low Fit
EMP100923,Arif Qolbi Fauziah,R&D,HRBP,39.5,Low Fit
EMP100671,Fajar Baskara Rohman,HR,Data Analyst,36.75,Low Fit
EMP101522,Lestari Permadi,Operations,Sales Supervisor,42.25,Low Fit
EMP101945,Mahendra Wibowo,HR,Supply Planner,42.25,Low Fit
EMP101265,Umar Utami,Operations,Supply Planner,6.5,Low Fit
EMP101856,Hadi Jatmiko Subekti,Finance,Sales Supervisor,37.75,Low Fit
EMP101651,Hana Siregar,Marketing,Supply Planner,1.75,Low Fit
EMP100470,Wulan Saputra Santoso,Marketing,Finance Officer,2.5,Low Fit
EMP100192,Yoga Handayani,HR,Sales Supervisor,38.75,Low Fit
EMP100375,Intan Setiawan,Finance,Finance Officer,30.0,Low Fit
EMP100542,Ahmad Situmorang,Operations,Data Analyst,41.75,Low Fit
EMP100649,Wahyu Dharma Handayani,Finance,Brand Executive,34.5,Low Fit
EMP101194,Prasetyo Candra Subekti,HR,HRBP,35.5,Low Fit
EMP101357,Bayu Zulfikar Hasibuan,R&D,HRBP,29.0,Low Fit
EMP101694,Intan Kusuma Wijaya,IT,Supply Planner,33.25,Low Fit
EMP101621,Citra Lukman,Operations,Brand Executive,30.5,Low Fit
EMP100246,Rizky Subekti,IT,Finance Officer,28.75,Low Fit
EMP101819,Tania Ananda,Operations,Brand Executive,43.75,Low Fit
EMP100624,Luthfi Firmansyah,R&D,HRBP,32.25,Low Fit
EMP100895,Wahyu Tri Subekti,R&D,HRBP,30.0,Low Fit
EMP101377,Dwi Utama Fauziah,Operations,Brand Executive,32.25,Low Fit
EMP101080,Galih Zulfikar Ramadhan,Finance,Brand Executive,37.5,Low Fit
EMP101908,Adi Candra Indrawan,HR,HRBP,35.25,Low Fit
EMP100644,Ayunda Hartanto,IT,Finance Officer,34.5,Low Fit
EMP101911,Lestari Ganesha Zulfikar,Operations,Brand Executive,31.25,Low Fit
EMP101769,Ayunda Saputra Rohman,Marketing,Supply Planner,3.0,Low Fit
EMP101134,Kurnia Dharma Putra,IT,Supply Planner,38.0,Low Fit
EMP100860,Bella Anugrah Rohman,R&D,Brand Executive,42.0,Low Fit
EMP101628,Arif Lestari Hartanto,HR,HRBP,30.5,Low Fit
EMP100713,Iman Indrawan,HR,Sales Supervisor,29.75,Low Fit
EMP100450,Indra Lestari,IT,Sales Supervisor,43.0,Low Fit
EMP100735,Oka Suharto,HR,Sales Supervisor,40.25,Low Fit
EMP100933,Ahmad Anggara,HR,Finance Officer,33.0,Low Fit
EMP101532,Nurlita Lestari,HR,Data Analyst,41.0,Low Fit
EMP100360,Rizka Rachman Wijaya,IT,Sales Supervisor,35.0,Low Fit
EMP101095,Nadia Simanjuntak,Operations,Sales Supervisor,34.5,Low Fit
EMP100588,Intan Rohman,Operations,Sales Supervisor,36.25,Low Fit
EMP100042,Oka Lukman,HR,Supply Planner,42.75,Low Fit
EMP101119,Utami Lestari,Marketing,Brand Executive,1.75,Low Fit
EMP101887,Bella Nabila Utami,Operations,Brand Executive,31.25,Low Fit
EMP101932,Wahyu Saputra Fauziah,Marketing,Sales Supervisor,0.75,Low Fit
EMP100028,Nadia Saputra,IT,Finance Officer,32.5,Low Fit
EMP101660,Rizka Yulianto,Operations,HRBP,41.75,Low Fit
EMP100381,Cahyo Halim Siregar,Operations,HRBP,32.25,Low Fit
EMP101455,Galih Mahardika Wibowo,HR,Supply Planner,30.75,Low Fit
EMP101239,Bella Qolbi Simanjuntak,IT,HRBP,37.5,Low Fit
EMP101631,Ari Halim Suharto,R&D,Sales Supervisor,39.75,Low Fit
EMP100846,Zaki Rahmawati,IT,Supply Planner,38.0,Low Fit
EMP101169,Anisa Wijaya Maulana,Finance,Brand Executive,31.5,Low Fit
EMP100445,Kurnia Wijaya,R&D,Sales Supervisor,29.25,Low Fit
EMP101188,Julia Utami,Marketing,HRBP,2.5,Low Fit
EMP101554,Adit Jatmiko Setiawan,Operations,HRBP,33.0,Low Fit
EMP100089,Umar Simanjuntak,Marketing,Sales Supervisor,2.0,Low Fit
EMP101607,Rama Indrawan,Finance,Data Analyst,39.5,Low Fit
EMP101861,Fajar Saputra Kurniawan,Operations,Sales Supervisor,28.75,Low Fit
EMP100092,Ahmad Indrawan,Marketing,Data Analyst,2.0,Low Fit
EMP101840,Rizka Erlangga Ananda,R&D,Sales Supervisor,38.0,Low Fit
EMP101847,Sari Utama Maulida,Marketing,Brand Executive,2.75,Low Fit
EMP100239,Dimas Sinaga,Marketing,Brand Executive,1.75,Low Fit
EMP100628,Fitri Dharma Siregar,R&D,Sales Supervisor,29.25,Low Fit
EMP100022,Oka Nugroho,IT,Data Analyst,34.0,Low Fit
EMP101661,Adit Yulianto,Operations,Finance Officer,28.5,Low Fit
EMP100076,Rizki Wijaya,Operations,Supply Planner,30.5,Low Fit
EMP101931,Ayu Sinaga,IT,HRBP,8.25,Low Fit
EMP101880,Nadia Nabila Pradana,Operations,HRBP,35.75,Low Fit
EMP101397,Gita Wijaya Setiawan,Finance,HRBP,30.25,Low Fit
EMP100438,Bayu Yudhistira Santoso,IT,Finance Officer,33.0,Low Fit
EMP100865,Anisa Pramudita Pamungkas,R&D,Supply Planner,37.75,Low Fit
EMP101217,Luthfi Lestari Kusuma,R&D,HRBP,35.25,Low Fit
EMP101763,Dewi Tri Halim,Finance,Sales Supervisor,31.5,Low Fit
EMP101720,Teguh Dharma Wijaya,Operations,Data Analyst,36.25,Low Fit
EMP101250,Iman Wijaya,IT,Data Analyst,37.75,Low Fit
EMP101427,Arif Pratama,Marketing,Sales Supervisor,1.0,Low Fit
EMP101821,Umar Halim,IT,Data Analyst,38.5,Low Fit
EMP100390,Bayu Tri Simanjuntak,Finance,Brand Executive,39.5,Low Fit
EMP100594,Teguh Sinaga,HR,HRBP,45.5,Low Fit
EMP100132,Maya Ramadhan,Operations,Data Analyst,40.0,Low Fit
EMP101856,Hadi Jatmiko Subekti,Finance,Sales Supervisor,36.75,Low Fit
EMP100836,Luthfi Simanjuntak,Operations,Brand Executive,33.5,Low Fit
EMP101182,Valdo Zulfikar Santoso,R&D,Brand Executive,39.25,Low Fit
EMP100553,Lestari Kurniawan,IT,Data Analyst,36.25,Low Fit
EMP100969,Nugroho Lukman,Operations,Sales Supervisor,40.75,Low Fit
EMP100561,Valdo Santoso,Operations,Supply Planner,29.0,Low Fit
EMP100029,Satya Adi Hasibuan,R&D,Sales Supervisor,37.0,Low Fit
EMP100055,Putri Nugroho,Finance,Supply Planner,40.75,Low Fit
EMP101500,Joko Ganesha Pratomo,R&D,Data Analyst,39.75,Low Fit
EMP100654,Prasetyo Hidayat,Operations,Sales Supervisor,4.5,Low Fit
EMP100746,Rizka Mahardika Indrawan,R&D,Brand Executive,41.0,Low Fit
EMP100063,Ayu Lestari Pradana,Marketing,Brand Executive,2.25,Low Fit
EMP101214,Intan Ridwan,R&D,Sales Supervisor,33.25,Low Fit
EMP100578,Teguh Anggara,Finance,Sales Supervisor,42.5,Low Fit
EMP101725,Bayu Ganesha Ananda,IT,Finance Officer,34.75,Low Fit
EMP100003,Oka Halim,HR,HRBP,31.75,Low Fit
EMP100477,Gita Wibowo,Finance,HRBP,6.5,Low Fit
EMP101740,Hadi Setiawan,Finance,Sales Supervisor,42.25,Low Fit
EMP100579,Yoga Sinaga,IT,Supply Planner,42.75,Low Fit
EMP100111,Rendra Herlambang,R&D,Finance Officer,27.5,Low Fit
EMP101918,Nabila Yudhistira Pradana,HR,Sales Supervisor,37.0,Low Fit
EMP101421,Galih Santoso,R&D,Finance Officer,38.25,Low Fit
EMP100835,Nurlita Purnama,Operations,Brand Executive,10.0,Low Fit
EMP101115,Valdo Putra,R&D,Supply Planner,30.25,Low Fit
EMP100677,Rani Halim Saputra,IT,Brand Executive,43.25,Low Fit
EMP100105,Maya Yulianto,Marketing,Brand Executive,0.75,Low Fit
EMP101720,Teguh Dharma Wijaya,Operations,Data Analyst,35.5,Low Fit
EMP100497,Oka Syahputra,HR,HRBP,30.5,Low Fit
EMP100781,Bayu Yulianto,HR,Data Analyst,41.0,Low Fit
EMP100786,Nadia Baskara Halim,IT,Sales Supervisor,29.25,Low Fit
EMP101988,Wulan Tri Pratama,Operations,Finance Officer,39.5,Low Fit
EMP100388,Rani Qolbi Zulfikar,Finance,Brand Executive,43.75,Low Fit
EMP101803,Bella Rachman Hidayat,R&D,Brand Executive,28.5,Low Fit
EMP100019,Rizki Iqbal Gunawan,HR,HRBP,38.5,Low Fit
EMP101890,Prasetyo Qolbi Maulida,Marketing,Brand Executive,2.25,Low Fit
EMP101144,Rifqi Maulida,HR,Brand Executive,32.25,Low Fit
EMP101882,Vania Rachman Anggara,Operations,Brand Executive,43.0,Low Fit
EMP100201,Gita Ganesha Santoso,Operations,Brand Executive,36.0,Low Fit
EMP101985,Dwi Kusuma,R&D,Data Analyst,29.0,Low Fit
EMP100478,Nurlita Kusuma Pratama,HR,Sales Supervisor,31.0,Low Fit
EMP100869,Budi Wibowo,Operations,Finance Officer,42.0,Low Fit
EMP101476,Mahendra Wijaya Pamungkas,HR,Data Analyst,44.0,Low Fit
EMP100171,Nadia Yulianto,IT,Data Analyst,41.75,Low Fit
EMP100759,Rendra Nabila Maulida,Operations,Supply Planner,39.25,Low Fit
EMP100279,Julia Wibowo,Finance,Brand Executive,35.25,Low Fit
EMP101270,Novi Permadi,IT,Sales Supervisor,36.25,Low Fit
EMP101160,Oka Lestari Wijaya,Marketing,Finance Officer,2.75,Low Fit
EMP101595,Yoga Erlangga Pratomo,Finance,HRBP,31.5,Low Fit
EMP100459,Zahra Syahputra,IT,Brand Executive,27.75,Low Fit
EMP101599,Fitri Aji Permadi,IT,Brand Executive,38.0,Low Fit
EMP100378,Hana Halim,R&D,Sales Supervisor,41.0,Low Fit
EMP101111,Bella Firmansyah,Marketing,Data Analyst,3.0,Low Fit
EMP101452,Dimas Wibowo,Finance,Finance Officer,38.25,Low Fit
EMP100512,Valdo Ginting,R&D,Data Analyst,33.25,Low Fit
EMP100115,Satya Yudhistira Lukman,HR,Brand Executive,28.75,Low Fit
EMP100862,Ayu Saputra,IT,Data Analyst,36.0,Low Fit
EMP100885,Gita Yudhistira Mahendra,IT,Supply Planner,36.5,Low Fit
EMP101930,Budi Ramadhan,Marketing,Sales Supervisor,0.75,Low Fit
EMP100479,Rendra Yudhistira Herlambang,Finance,Data Analyst,37.25,Low Fit
EMP101102,Novi Sinaga,IT,Data Analyst,31.0,Low Fit
EMP100310,Rendra Pradana,HR,HRBP,31.75,Low Fit
EMP100248,Ahmad Erlangga Siregar,Operations,Brand Executive,36.25,Low Fit
EMP100250,Arif Mahardika Kusuma,Finance,Brand Executive,30.75,Low Fit
EMP100655,Novi Lestari,Marketing,Sales Supervisor,1.0,Low Fit
EMP100574,Kartika Putra,Operations,Data Analyst,40.25,Low Fit
EMP101112,Budi Firmansyah,Operations,Brand Executive,37.25,Low Fit
EMP101642,Rani Iqbal Tamba,IT,HRBP,32.25,Low Fit
EMP101682,Ayu Adi Putra,IT,HRBP,32.5,Low Fit
EMP101396,Gita Ginting,IT,Sales Supervisor,34.5,Low Fit
EMP101904,Eko Subekti,Marketing,HRBP,0.75,Low Fit
EMP101625,Rama Siregar,Operations,Supply Planner,46.0,Low Fit
EMP101854,Joko Mahendra,R&D,Brand Executive,30.75,Low Fit
EMP100843,Dinda Kurniawan,HR,Data Analyst,41.0,Low Fit
EMP101899,Hana Aji Maulana,R&D,Finance Officer,30.75,Low Fit
EMP100844,Rizka Gunawan,Finance,Finance Officer,33.0,Low Fit
EMP101346,Luthfi Tri Subekti,R&D,Brand Executive,38.0,Low Fit
EMP101343,Anisa Anugrah Saputra,HR,Finance Officer,36.5,Low Fit
EMP101536,Indra Syahputra,Operations,Sales Supervisor,34.0,Low Fit
EMP100401,Dwi Wijaya Halim,Marketing,Brand Executive,1.25,Low Fit
EMP100157,Maya Zulfikar Purnama,HR,Brand Executive,37.75,Low Fit
EMP100727,Sari Utama Hidayat,Finance,Finance Officer,33.5,Low Fit
EMP100968,Vania Yudhistira Wibowo,IT,Brand Executive,41.75,Low Fit
EMP100004,Dwi Pratama,Operations,Supply Planner,40.75,Low Fit
EMP101404,Rizky Salsabila,IT,Sales Supervisor,35.5,Low Fit
EMP100026,Wulan Yudhistira Tamba,HR,HRBP,37.75,Low Fit
EMP101145,Yoga Adi Halim,Operations,Brand Executive,33.5,Low Fit
EMP101401,Evi Situmorang,Finance,Brand Executive,44.25,Low Fit
EMP101542,Rama Firmansyah,IT,Supply Planner,38.75,Low Fit
EMP101060,Galih Fauziah,Finance,Finance Officer,29.75,Low Fit
EMP101891,Budi Nugroho,HR,Sales Supervisor,32.0,Low Fit
EMP100930,Intan Aji Hartanto,Marketing,Finance Officer,1.5,Low Fit
EMP100399,Zaki Ramadhan,Operations,Sales Supervisor,39.0,Low Fit
EMP101851,Yuni Aji Purnama,Operations,Sales Supervisor,8.0,Low Fit
EMP101132,Umar Pradana,IT,Finance Officer,38.5,Low Fit
EMP100907,Yuni Aji Wijaya,Marketing,Supply Planner,1.25,Low Fit
EMP101192,Galih Aji Permadi,IT,Sales Supervisor,37.5,Low Fit
EMP101134,Kurnia Dharma Putra,IT,Supply Planner,38.25,Low Fit
EMP100031,Julia Nabila Kurniawan,HR,Finance Officer,36.75,Low Fit
EMP101536,Indra Syahputra,Operations,Sales Supervisor,30.75,Low Fit
EMP100549,Lestari Aji Subekti,Marketing,HRBP,1.5,Low Fit
EMP101821,Umar Halim,IT,Data Analyst,37.5,Low Fit
EMP100929,Anisa Mahardika Utami,Operations,Data Analyst,40.75,Low Fit
EMP101908,Adi Candra Indrawan,HR,HRBP,35.75,Low Fit
EMP101680,Zaki Santoso,Marketing,Data Analyst,3.25,Low Fit
EMP100174,Ayunda Nabila Ramadhan,Marketing,Sales Supervisor,2.75,Low Fit
EMP101778,Dian Wijaya Setiawan,Finance,HRBP,31.0,Low Fit
EMP101478,Ayunda Wibowo,Operations,Finance Officer,29.0,Low Fit
EMP100506,Cahyo Iqbal Suharto,Finance,Brand Executive,33.0,Low Fit
EMP101519,Rendra Baskara Pamungkas,IT,Sales Supervisor,38.75,Low Fit
EMP100758,Dwi Adi Maulana,Operations,Finance Officer,31.25,Low Fit
EMP101581,Fitri Handayani,Operations,Brand Executive,30.0,Low Fit
EMP100259,Gita Ridwan,Operations,Supply Planner,32.75,Low Fit
EMP101733,Galih Yudhistira Situmorang,Marketing,Finance Officer,3.5,Low Fit
EMP101546,Zahra Candra Salsabila,Operations,Finance Officer,30.0,Low Fit
EMP100727,Sari Utama Hidayat,Finance,Finance Officer,33.5,Low Fit
EMP100219,Julia Kusuma Santoso,Operations,Sales Supervisor,37.75,Low Fit
EMP101400,Rendra Rachman Wijaya,Finance,Data Analyst,36.0,Low Fit
EMP100617,Eko Rahmawati,Finance,Brand Executive,36.25,Low Fit
EMP101713,Nabila Yudhistira Kusuma,Operations,HRBP,34.25,Low Fit
EMP101177,Mahendra Siregar,Marketing,Brand Executive,1.75,Low Fit
EMP101484,Oka Qolbi Mahendra,Marketing,Brand Executive,2.75,Low Fit
EMP100337,Anisa Situmorang,IT,Data Analyst,28.0,Low Fit
EMP101921,Dian Adi Tamba,Operations,Supply Planner,41.25,Low Fit
EMP101936,Dwi Syahputra,IT,Data Analyst,35.75,Low Fit
EMP101266,Joko Zulfikar Ginting,Finance,Sales Supervisor,33.25,Low Fit
EMP100305,Indra Herlambang,R&D,Sales Supervisor,35.5,Low Fit
EMP101659,Iman Putra,HR,Supply Planner,27.0,Low Fit
EMP101221,Bayu Adi Handayani,Operations,Supply Planner,35.25,Low Fit
EMP100951,Rama Rachman Wijaya,Finance,Data Analyst,43.5,Low Fit
EMP100427,Dimas Adi Mahendra,Operations,HRBP,9.5,Low Fit
EMP100070,Kartika Rachman Ramadhan,HR,Supply Planner,45.0,Low Fit
EMP100929,Anisa Mahardika Utami,Operations,Data Analyst,41.25,Low Fit
EMP101880,Nadia Nabila Pradana,Operations,HRBP,34.75,Low Fit
EMP100294,Fitri Dharma Hidayat,R&D,Sales Supervisor,39.5,Low Fit
EMP100354,Wahyu Setiawan,Marketing,Finance Officer,1.5,Low Fit
EMP100821,Kartika Saputra,R&D,Brand Executive,44.0,Low Fit
EMP101887,Bella Nabila Utami,Operations,Brand Executive,32.25,Low Fit
EMP101975,Fajar Nugroho,Finance,Sales Supervisor,35.0,Low Fit
EMP100539,Teguh Dharma Indrawan,R&D,HRBP,35.5,Low Fit
EMP101511,Indra Rachman Siregar,Marketing,Supply Planner,2.5,Low Fit
EMP100723,Ayu Aji Permadi,Finance,Sales Supervisor,32.5,Low Fit
EMP101377,Dwi Utama Fauziah,Operations,Brand Executive,32.25,Low Fit
EMP100789,Oka Halim Setiawan,IT,HRBP,41.0,Low Fit
EMP100819,Prasetyo Kusuma Putra,Finance,Supply Planner,34.0,Low Fit
EMP101702,Fitri Mahardika Gunawan,Finance,Brand Executive,36.5,Low Fit
EMP100303,Bayu Wijaya Maulida,HR,Supply Planner,31.5,Low Fit
EMP101062,Rifqi Jatmiko Wijaya,Marketing,HRBP,3.0,Low Fit
EMP100524,Hadi Nugroho,Finance,Data Analyst,31.5,Low Fit
EMP100254,Wulan Salsabila,IT,Brand Executive,26.25,Low Fit
EMP100325,Wahyu Kusuma Hartanto,Operations,Data Analyst,12.0,Low Fit
EMP101311,Teguh Wibowo,Operations,Supply Planner,7.0,Low Fit
EMP101724,Dwi Tri Subekti,Operations,Data Analyst,25.5,Low Fit
EMP100684,Dian Rahmawati,Marketing,Supply Planner,2.25,Low Fit
EMP101930,Budi Ramadhan,Marketing,Sales Supervisor,3.25,Low Fit
EMP101474,Hadi Ramadhan,HR,Data Analyst,39.0,Low Fit
EMP101057,Dinda Anggara,R&D,HRBP,39.25,Low Fit
EMP100223,Utami Mahardika Rohman,IT,Data Analyst,29.75,Low Fit
EMP100462,Lestari Anggara,R&D,Sales Supervisor,29.75,Low Fit
EMP100187,Ayu Tamba,R&D,Supply Planner,29.75,Low Fit
EMP100023,Adit Kurniawan,HR,Finance Officer,43.5,Low Fit
EMP100464,Anisa Erlangga Lukman,IT,Brand Executive,45.0,Low Fit
EMP100995,Anisa Ramadhan,HR,Data Analyst,39.75,Low Fit
EMP101711,Lestari Saputra Gunawan,R&D,Finance Officer,35.75,Low Fit
EMP101423,Galih Gunawan,Finance,Data Analyst,38.0,Low Fit
EMP100033,Ahmad Simanjuntak,IT,Sales Supervisor,36.5,Low Fit
EMP100633,Dewi Setiawan,IT,Sales Supervisor,34.25,Low Fit
EMP101444,Rizky Siregar,Finance,HRBP,29.75,Low Fit
EMP101196,Satya Firmansyah,HR,Finance Officer,32.75,Low Fit
EMP101075,Hadi Wijaya Gunawan,R&D,Supply Planner,33.75,Low Fit
EMP100528,Lestari Suharto,HR,Sales Supervisor,31.0,Low Fit
EMP100368,Dewi Indrawan,Finance,Data Analyst,36.75,Low Fit
EMP100076,Rizki Wijaya,Operations,Supply Planner,28.75,Low Fit
EMP100134,Rifqi Wijaya,IT,Sales Supervisor,38.5,Low Fit
EMP100802,Dimas Kusuma Indrawan,IT,Brand Executive,38.0,Low Fit
EMP100871,Rizka Anggara,Operations,Data Analyst,34.0,Low Fit
EMP100065,Rani Saputra,Finance,Brand Executive,33.5,Low Fit
EMP100580,Adi Lukman,HR,Finance Officer,36.75,Low Fit
EMP101979,Prasetyo Pramudita Saputra,IT,Sales Supervisor,37.0,Low Fit
EMP100464,Anisa Erlangga Lukman,IT,Brand Executive,44.25,Low Fit
EMP100460,Joko Sinaga,IT,HRBP,30.5,Low Fit
EMP100710,Adi Wijaya,Finance,Sales Supervisor,28.25,Low Fit
EMP101365,Teguh Setiawan,Operations,Supply Planner,5.75,Low Fit
EMP101463,Budi Mahendra,IT,Sales Supervisor,30.5,Low Fit
EMP100798,Valdo Rachman Wibowo,Operations,Supply Planner,42.25,Low Fit
EMP101807,Satya Fauziah,Finance,Sales Supervisor,40.25,Low Fit
EMP100164,Wahyu Iqbal Pratomo,IT,Data Analyst,9.25,Low Fit
EMP101274,Maya Nabila Ridwan,HR,Supply Planner,40.75,Low Fit
EMP100976,Budi Suharto,HR,Finance Officer,30.25,Low Fit
EMP101937,Joko Anugrah Suharto,Finance,Sales Supervisor,33.25,Low Fit
EMP100162,Eko Adi Permadi,Operations,Sales Supervisor,42.25,Low Fit
EMP100524,Hadi Nugroho,Finance,Data Analyst,33.0,Low Fit
EMP101610,Kartika Hasibuan,Finance,Supply Planner,31.25,Low Fit
EMP101563,Nugroho Yudhistira Nugroho,Marketing,Supply Planner,1.0,Low Fit
EMP100627,Hadi Handayani,Operations,Supply Planner,35.75,Low Fit
EMP101684,Bella Utama Ramadhan,Finance,Brand Executive,32.5,Low Fit
EMP101078,Satya Saputra,R&D,Sales Supervisor,37.25,Low Fit
EMP100406,Vania Lestari Subekti,IT,HRBP,29.75,Low Fit
EMP100986,Novi Tamba,HR,Finance Officer,29.75,Low Fit
EMP100358,Rizki Handayani,Operations,Finance Officer,41.0,Low Fit
EMP100411,Rani Fauziah,R&D,Finance Officer,37.25,Low Fit
EMP100438,Bayu Yudhistira Santoso,IT,Finance Officer,34.0,Low Fit
EMP101298,Nurlita Halim,R&D,Data Analyst,30.0,Low Fit
EMP101472,Mahendra Baskara Purnama,Operations,Sales Supervisor,29.5,Low Fit
EMP101078,Satya Saputra,R&D,Sales Supervisor,38.0,Low Fit
